SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
27000001,7.6,6.0,3.8,5.8,5.8
27000002,6.8,7.75,5.6,6.716666666666666,6.716666666666666
27000003,6.6,5.75,4.0,5.45,5.45
27000004,5.4,6.75,4.0,5.383333333333333,5.383333333333333
27000005,6.8,8.25,4.6,6.55,6.55
27000006,7.2,8.0,5.0,6.733333333333333,6.733333333333333
27000007,7.4,6.75,5.2,6.45,6.45
27000008,8.2,7.25,3.6,6.3500000000000005,6.3500000000000005
27000009,8.4,7.5,6.0,7.3,7.3
27000010,8.4,6.75,3.2,6.116666666666667,6.116666666666667
27000011,7.0,8.0,3.4,6.133333333333333,6.133333333333333
27000012,8.6,8.5,7.2,8.1,8.1
27000013,4.4,7.25,3.4,5.016666666666667,5.016666666666667
27000014,7.8,7.75,4.2,6.583333333333333,6.583333333333333
27000015,5.8,6.25,5.6,5.883333333333333,5.883333333333333
27000016,8.4,7.5,5.6,7.166666666666667,7.166666666666667
27000017,6.2,8.75,4.8,6.583333333333333,6.583333333333333
27000018,5.8,6.75,3.6,5.383333333333334,5.383333333333334
27000019,9.0,8.0,6.2,7.733333333333333,7.733333333333333
27000020,6.4,7.0,3.8,5.733333333333333,5.733333333333333
27000021,7.6,9.0,6.4,7.666666666666667,7.666666666666667
27000022,6.8,7.25,3.4,5.816666666666666,5.816666666666666
27000023,6.4,7.25,4.2,5.95,5.95
27000024,8.0,8.75,5.4,7.383333333333333,7.383333333333333
27000025,4.2,8.25,3.8,5.416666666666667,5.416666666666667
27000026,5.2,8.75,3.6,5.8500000000000005,5.8500000000000005
27000027,6.4,8.25,4.6,6.416666666666667,6.416666666666667
27000028,7.0,7.0,3.6,5.866666666666667,5.866666666666667
27000029,8.6,6.5,3.6,6.233333333333333,6.233333333333333
27000031,7.6,8.0,4.4,6.666666666666667,6.666666666666667
27000032,6.0,7.0,3.6,5.533333333333334,5.533333333333334
27000033,3.6,5.0,2.4,3.6666666666666665,3.6666666666666665
27000034,3.0,7.0,4.0,4.666666666666667,4.666666666666667
27000035,7.8,7.0,5.8,6.866666666666667,6.866666666666667
27000036,5.6,5.0,4.4,5.0,5.0
27000037,6.4,7.75,3.4,5.8500000000000005,5.8500000000000005
27000038,6.8,8.25,5.8,6.95,6.95
27000039,6.6,7.5,4.2,6.1000000000000005,6.1000000000000005
27000040,5.4,8.0,4.0,5.8,5.8
27000041,5.0,6.75,4.6,5.45,5.45
27000042,5.4,8.25,4.2,5.95,5.95
27000043,8.2,8.75,7.4,8.116666666666667,8.116666666666667
27000044,6.8,7.25,3.4,5.816666666666666,5.816666666666666
27000045,8.6,6.25,4.6,6.483333333333333,6.483333333333333
27000046,8.4,7.5,5.0,6.966666666666666,6.966666666666666
27000047,7.8,7.25,4.2,6.416666666666667,6.416666666666667
27000048,9.4,7.25,5.6,7.416666666666667,7.416666666666667
27000049,6.8,5.25,3.2,5.083333333333333,5.083333333333333
27000050,6.4,8.0,4.6,6.333333333333333,6.333333333333333
27000051,8.4,7.5,6.4,7.433333333333334,7.433333333333334
27000052,5.2,7.75,3.6,5.516666666666667,5.516666666666667
27000053,8.4,7.5,5.8,7.233333333333333,7.233333333333333
27000054,8.4,8.25,8.6,8.416666666666666,8.416666666666666
27000055,7.0,8.0,2.8,5.933333333333334,5.933333333333334
27000056,6.8,8.25,4.0,6.3500000000000005,6.3500000000000005
27000057,7.4,8.0,4.8,6.733333333333333,6.733333333333333
27000058,8.0,7.0,4.8,6.6000000000000005,6.6000000000000005
27000059,8.4,5.75,4.6,6.25,6.25
27000060,7.0,7.25,2.0,5.416666666666667,5.416666666666667
27000061,6.8,7.0,5.4,6.400000000000001,6.400000000000001
27000062,6.2,8.25,4.8,6.416666666666667,6.416666666666667
27000063,7.8,7.0,5.2,6.666666666666667,6.666666666666667
27000064,8.6,6.25,8.4,7.75,7.75
27000065,3.4,6.0,3.2,4.2,4.2
27000066,4.2,7.5,2.2,4.633333333333333,4.633333333333333
27000067,7.2,6.75,6.2,6.716666666666666,6.716666666666666
27000068,8.4,9.0,5.8,7.733333333333333,7.733333333333333
27000069,6.8,6.25,5.2,6.083333333333333,6.083333333333333
27000070,8.8,6.25,4.6,6.55,6.55
