SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
59000001,8.0,8.5,7.8,8.1,8.1
59000002,8.2,7.5,6.6,7.433333333333333,7.433333333333333
59000004,8.2,7.5,4.8,6.833333333333333,6.833333333333333
59000005,8.0,7.75,5.8,7.183333333333334,7.183333333333334
59000006,8.2,8.5,9.2,8.633333333333333,8.633333333333333
59000008,8.2,8.0,8.0,8.066666666666666,8.066666666666666
59000009,6.8,4.5,6.8,6.033333333333334,6.033333333333334
59000010,7.6,7.0,8.4,7.666666666666667,7.666666666666667
59000011,9.0,6.0,8.0,7.666666666666667,7.666666666666667
59000012,8.6,7.0,8.0,7.866666666666667,7.866666666666667
59000013,7.6,6.5,6.4,6.833333333333333,6.833333333333333
59000016,8.2,7.0,7.2,7.466666666666666,7.466666666666666
59000017,7.2,7.25,7.2,7.216666666666666,7.216666666666666
59000018,6.2,8.75,8.6,7.849999999999999,7.849999999999999
59000021,7.2,6.75,4.2,6.05,6.05
59000022,0.0,7.0,5.6,4.2,4.2
59000025,7.8,8.5,7.4,7.900000000000001,7.900000000000001
59000026,8.6,7.0,9.8,8.466666666666667,8.466666666666667
59000027,8.0,8.75,6.0,7.583333333333333,7.583333333333333
59000028,7.4,8.75,8.2,8.116666666666665,8.116666666666665
59000029,8.6,7.5,8.2,8.1,8.1
59000030,8.6,7.75,7.8,8.05,8.05
59000031,9.0,8.5,7.4,8.299999999999999,8.299999999999999
59000032,8.4,7.0,8.2,7.866666666666667,7.866666666666667
59000035,8.6,5.5,4.6,6.233333333333333,6.233333333333333
59000036,7.8,5.0,6.2,6.333333333333333,6.333333333333333
59000037,8.8,6.0,9.2,8.0,8.0
59000038,8.6,5.5,7.8,7.3,7.3
59000039,8.4,6.5,7.8,7.566666666666666,7.566666666666666
59000040,8.0,6.5,7.6,7.366666666666667,7.366666666666667
59000041,9.0,8.25,7.4,8.216666666666667,8.216666666666667
59000042,8.6,7.5,7.2,7.766666666666667,7.766666666666667
59000043,8.2,8.0,8.8,8.333333333333334,8.333333333333334
59000044,8.6,8.0,9.2,8.6,8.6
59000045,6.6,5.5,8.2,6.766666666666666,6.766666666666666
59000050,8.2,6.75,6.2,7.05,7.05
59000053,6.2,5.25,6.2,5.883333333333333,5.883333333333333
59000055,8.8,7.0,7.6,7.8,7.8
59000057,8.4,5.25,8.4,7.35,7.3500000000000005
59000058,8.6,8.5,8.4,8.5,8.5
59000061,8.0,5.75,5.6,6.45,6.45
59000062,7.4,0.0,5.8,4.4,4.3999999999999995
59000064,8.4,7.5,7.2,7.7,7.7
59000068,8.6,6.0,7.8,7.466666666666666,7.466666666666666
59000070,9.0,7.5,5.6,7.366666666666667,7.366666666666667
59000071,7.4,7.5,5.0,6.633333333333333,6.633333333333333
59000072,6.0,8.25,4.4,6.216666666666666,6.216666666666666
59000073,9.0,6.5,7.4,7.633333333333333,7.633333333333333
59000074,9.0,8.75,4.2,7.316666666666666,7.316666666666666
59000075,8.2,7.92,9.2,8.44,8.44
59000079,8.2,7.0,5.4,6.866666666666667,6.866666666666667
59000081,6.6,7.5,7.2,7.1000000000000005,7.1000000000000005
59000082,7.6,5.0,5.2,5.933333333333334,5.933333333333334
59000084,8.8,5.75,5.4,6.650000000000001,6.650000000000001
59000085,8.4,7.0,8.4,7.933333333333334,7.933333333333334
59000088,7.8,5.5,4.2,5.833333333333333,5.833333333333333
59000089,4.6,0.0,2.6,2.4,2.4
59000091,8.4,7.0,7.8,7.733333333333333,7.733333333333333
59000092,8.2,6.0,5.6,6.599999999999999,6.599999999999999
59000096,6.8,7.5,5.2,6.5,6.5
59000097,8.2,6.5,8.8,7.833333333333333,7.833333333333333
59000098,8.4,7.0,8.4,7.933333333333334,7.933333333333334
59000104,7.6,7.75,9.6,8.316666666666666,8.316666666666666
59000106,8.2,8.5,7.6,8.1,8.1
59000108,7.4,8.5,8.2,8.033333333333333,8.033333333333333
59000109,8.0,8.5,7.2,7.899999999999999,7.8999999999999995
59000110,8.2,8.0,6.8,7.666666666666667,7.666666666666667
59000111,9.2,6.5,8.2,7.966666666666666,7.966666666666666
59000113,8.4,8.25,8.6,8.416666666666666,8.416666666666666
59000114,8.0,7.5,8.4,7.966666666666666,7.966666666666666
59000115,8.6,8.75,8.6,8.65,8.65
59000116,8.4,8.25,9.0,8.549999999999999,8.549999999999999
59000117,7.4,8.0,6.0,7.133333333333333,7.133333333333333
59000118,7.4,7.5,6.6,7.166666666666667,7.166666666666667
59000120,7.4,8.75,9.4,8.516666666666666,8.516666666666666
59000122,8.4,8.75,9.0,8.716666666666667,8.716666666666667
59000125,8.8,7.75,9.4,8.65,8.65
59000128,7.4,6.0,7.2,6.866666666666667,6.866666666666667
59000131,8.2,4.75,7.6,6.849999999999999,6.849999999999999
59000132,7.8,6.5,6.6,6.966666666666666,6.966666666666666
59000133,8.2,7.25,6.8,7.416666666666667,7.416666666666667
59000134,8.6,7.25,8.6,8.15,8.15
59000135,8.2,7.25,6.2,7.216666666666666,7.216666666666666
59000136,7.4,5.5,7.4,6.766666666666667,6.766666666666667
59000140,8.6,7.0,5.4,7.0,7.0
59000141,8.8,6.0,5.6,6.8,6.8
59000142,8.0,8.25,8.4,8.216666666666667,8.216666666666667
59000143,8.0,6.25,9.2,7.816666666666666,7.816666666666666
59000145,8.6,7.75,6.2,7.516666666666667,7.516666666666667
59000146,8.0,6.75,8.6,7.783333333333334,7.783333333333334
59000147,5.4,6.75,5.2,5.783333333333334,5.783333333333334
59000148,8.0,6.0,7.0,7.0,7.0
59000149,6.0,5.5,7.6,6.366666666666667,6.366666666666667
59000150,8.6,8.25,6.4,7.75,7.75
59000154,7.8,8.75,8.8,8.450000000000001,8.450000000000001
59000156,8.0,9.0,9.4,8.799999999999999,8.799999999999999
59000158,6.4,0.0,8.6,5.0,5.0
59000159,7.0,7.5,9.2,7.899999999999999,7.8999999999999995
59000161,7.6,5.75,9.8,7.716666666666666,7.716666666666666
59000163,7.0,6.0,9.2,7.399999999999999,7.3999999999999995
59000164,7.4,7.0,9.0,7.8,7.8
59000165,8.4,7.0,8.4,7.933333333333334,7.933333333333334
59000166,7.4,8.25,9.0,8.216666666666667,8.216666666666667
59000167,9.0,6.25,9.2,8.15,8.15
59000168,8.2,6.5,3.8,6.166666666666667,6.166666666666667
59000170,8.4,6.5,7.6,7.5,7.5
59000171,8.8,6.5,6.6,7.3,7.3
59000172,8.2,9.0,8.4,8.533333333333333,8.533333333333333
59000173,8.4,0.0,5.4,4.6000000000000005,4.6000000000000005
59000175,8.6,6.5,9.0,8.033333333333333,8.033333333333333
59000176,7.8,5.75,9.0,7.516666666666667,7.516666666666667
59000177,8.6,8.0,7.4,8.0,8.0
59000180,8.6,7.75,6.8,7.716666666666668,7.716666666666668
59000182,7.0,0.0,7.8,4.933333333333334,4.933333333333334
59000184,8.2,8.5,4.6,7.099999999999999,7.099999999999999
59000185,8.0,8.25,9.0,8.416666666666666,8.416666666666666
59000186,9.0,6.75,8.8,8.183333333333334,8.183333333333334
59000187,8.4,6.5,5.6,6.833333333333333,6.833333333333333
59000188,9.4,8.0,8.6,8.666666666666666,8.666666666666666
59000189,7.4,8.25,6.0,7.216666666666666,7.216666666666666
59000190,8.8,8.25,7.2,8.083333333333334,8.083333333333334
59000192,7.8,8.5,6.0,7.433333333333334,7.433333333333334
59000194,8.2,9.0,8.8,8.666666666666666,8.666666666666666
59000195,7.4,7.0,7.4,7.266666666666667,7.266666666666667
59000196,9.2,0.0,8.4,5.866666666666667,5.866666666666667
