SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
13000001,5.0,6.75,8.4,6.716666666666666,6.716666666666666
13000002,8.4,8.75,8.6,8.583333333333334,8.583333333333334
13000003,6.0,9.25,7.4,7.55,7.55
13000004,8.2,8.0,9.4,8.533333333333333,8.533333333333333
13000005,8.8,9.5,9.4,9.233333333333334,9.233333333333334
13000006,8.6,5.25,7.4,7.083333333333333,7.083333333333333
13000007,8.6,7.75,9.6,8.65,8.65
13000008,8.8,7.0,9.6,8.466666666666667,8.466666666666667
13000009,8.2,8.25,8.2,8.216666666666667,8.216666666666667
13000010,8.6,5.75,8.2,7.516666666666666,7.516666666666666
13000011,8.4,7.0,9.2,8.200000000000001,8.200000000000001
13000012,7.6,9.25,9.0,8.616666666666667,8.616666666666667
13000013,8.0,9.25,8.8,8.683333333333334,8.683333333333334
13000014,7.4,8.0,6.4,7.266666666666667,7.266666666666667
13000015,8.0,8.0,7.6,7.866666666666667,7.866666666666667
13000016,9.2,8.75,9.2,9.05,9.049999999999999
13000017,7.8,9.25,9.4,8.816666666666668,8.816666666666668
13000018,8.0,8.75,9.2,8.65,8.65
13000019,7.2,8.25,8.8,8.083333333333334,8.083333333333334
13000020,8.6,6.0,7.2,7.266666666666667,7.266666666666667
13000021,8.2,8.75,9.2,8.716666666666667,8.716666666666667
13000022,4.6,8.5,9.2,7.433333333333333,7.433333333333333
13000023,8.8,7.0,9.0,8.266666666666667,8.266666666666667
13000024,5.8,8.75,5.6,6.716666666666666,6.716666666666666
13000025,8.6,6.0,6.8,7.133333333333333,7.133333333333333
13000026,8.4,5.75,9.2,7.783333333333334,7.783333333333334
13000027,7.6,7.5,8.6,7.899999999999999,7.8999999999999995
13000028,8.6,9.0,7.8,8.466666666666667,8.466666666666667
13000029,5.8,8.25,5.0,6.3500000000000005,6.3500000000000005
13000030,8.4,7.75,9.0,8.383333333333333,8.383333333333333
13000031,8.0,8.0,7.4,7.8,7.8
13000032,8.2,7.5,6.6,7.433333333333333,7.433333333333333
13000033,8.6,8.5,8.8,8.633333333333335,8.633333333333335
13000034,7.4,7.25,8.4,7.683333333333334,7.683333333333334
13000035,8.6,8.25,7.8,8.216666666666667,8.216666666666667
13000036,6.2,8.5,5.8,6.833333333333333,6.833333333333333
13000037,5.6,9.5,7.0,7.366666666666667,7.366666666666667
13000038,8.2,7.75,7.6,7.849999999999999,7.849999999999999
13000039,6.2,8.25,8.2,7.55,7.55
13000040,8.4,8.5,9.2,8.7,8.7
13000041,8.8,6.5,5.8,7.033333333333334,7.033333333333334
13000042,8.2,9.25,9.8,9.083333333333334,9.083333333333334
13000043,8.2,7.0,6.4,7.2,7.2
13000044,8.2,6.0,6.6,6.933333333333333,6.933333333333333
13000045,8.8,9.0,9.6,9.133333333333333,9.133333333333333
13000046,8.8,7.5,9.0,8.433333333333334,8.433333333333334
13000047,7.6,6.5,8.4,7.5,7.5
13000048,8.8,7.5,6.8,7.7,7.7
13000049,8.8,8.25,7.8,8.283333333333333,8.283333333333333
13000050,8.8,8.75,9.2,8.916666666666666,8.916666666666666
13000051,7.6,7.25,9.2,8.016666666666666,8.016666666666666
13000052,8.6,8.75,9.8,9.05,9.05
13000053,8.2,5.0,9.2,7.466666666666666,7.466666666666666
13000054,8.0,9.0,9.6,8.866666666666667,8.866666666666667
13000055,8.4,6.25,9.2,7.95,7.95
13000056,8.8,6.5,6.8,7.366666666666667,7.366666666666667
13000057,8.6,9.25,9.2,9.016666666666667,9.016666666666667
13000058,7.0,8.75,4.8,6.8500000000000005,6.8500000000000005
13000059,9.2,5.0,9.4,7.866666666666667,7.866666666666667
13000060,9.0,7.5,8.8,8.433333333333334,8.433333333333334
13000061,7.8,8.0,9.8,8.533333333333333,8.533333333333333
13000062,8.6,9.0,9.4,9.0,9.0
13000063,7.6,8.5,9.2,8.433333333333334,8.433333333333334
