SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
2000001,7.8,8.0,8.4,8.066666666666668,8.066666666666668
2000002,7.0,8.25,9.0,8.083333333333334,8.083333333333334
2000003,8.4,5.25,9.6,7.75,7.75
2000004,8.4,6.0,4.8,6.4,6.3999999999999995
2000005,8.6,7.25,9.0,8.283333333333333,8.283333333333333
2000008,6.4,6.75,8.0,7.05,7.05
2000009,5.2,7.75,7.6,6.849999999999999,6.849999999999999
2000010,8.2,7.5,8.2,7.966666666666666,7.966666666666666
2000011,8.4,6.5,7.0,7.3,7.3
2000012,8.0,6.5,8.4,7.633333333333333,7.633333333333333
2000013,6.8,6.75,8.0,7.183333333333334,7.183333333333334
2000014,7.0,6.75,9.2,7.649999999999999,7.6499999999999995
2000015,6.6,7.75,7.4,7.25,7.25
2000016,8.2,8.5,7.6,8.1,8.1
2000017,6.0,6.75,7.4,6.716666666666666,6.716666666666666
2000018,7.4,7.25,6.6,7.083333333333333,7.083333333333333
2000019,7.4,7.75,8.8,7.983333333333334,7.983333333333334
2000020,8.0,5.75,8.2,7.316666666666666,7.316666666666666
2000021,7.8,6.25,7.4,7.150000000000001,7.150000000000001
2000022,7.6,7.75,5.4,6.916666666666667,6.916666666666667
2000023,7.0,5.75,7.2,6.65,6.6499999999999995
2000024,7.6,7.0,8.4,7.666666666666667,7.666666666666667
2000026,8.2,7.75,8.6,8.183333333333332,8.183333333333332
2000027,7.4,5.75,5.0,6.05,6.05
2000028,8.4,6.0,6.0,6.8,6.8
2000029,7.0,7.0,8.6,7.533333333333334,7.533333333333334
2000030,7.6,7.0,9.4,8.0,8.0
2000031,7.6,6.75,9.0,7.783333333333334,7.783333333333334
2000032,7.2,6.25,8.0,7.15,7.1499999999999995
2000033,7.8,7.75,8.8,8.116666666666667,8.116666666666667
2000034,7.0,6.75,7.8,7.183333333333334,7.183333333333334
2000035,7.4,5.5,9.2,7.366666666666667,7.366666666666667
2000036,8.0,7.5,6.6,7.366666666666667,7.366666666666667
2000038,7.6,6.0,8.2,7.266666666666666,7.266666666666666
2000039,8.2,7.5,8.8,8.166666666666666,8.166666666666666
2000041,8.0,5.5,7.8,7.1000000000000005,7.1000000000000005
2000042,8.0,7.0,7.4,7.466666666666666,7.466666666666666
2000043,6.4,6.5,9.4,7.433333333333334,7.433333333333334
2000044,7.4,7.25,8.2,7.616666666666667,7.616666666666667
2000045,7.6,7.75,8.2,7.849999999999999,7.849999999999999
2000046,8.0,4.5,9.4,7.3,7.3
2000047,8.2,5.25,8.8,7.416666666666667,7.416666666666667
2000048,7.4,6.25,8.6,7.416666666666667,7.416666666666667
2000049,8.8,8.5,7.2,8.166666666666666,8.166666666666666
2000050,7.6,6.5,8.4,7.5,7.5
2000051,7.6,4.5,9.4,7.166666666666667,7.166666666666667
2000052,7.0,7.25,8.2,7.483333333333333,7.483333333333333
2000053,7.6,8.0,8.6,8.066666666666666,8.066666666666666
2000054,6.4,6.75,8.6,7.25,7.25
2000055,7.6,7.5,8.0,7.7,7.7
2000056,8.2,6.75,9.6,8.183333333333332,8.183333333333332
2000057,7.6,5.25,8.8,7.216666666666666,7.216666666666666
2000058,6.4,6.75,8.2,7.116666666666667,7.116666666666667
2000059,8.0,7.0,5.4,6.8,6.8
2000060,6.2,7.0,8.6,7.266666666666666,7.266666666666666
2000061,7.8,5.75,9.0,7.516666666666667,7.516666666666667
2000062,6.8,5.75,8.8,7.116666666666667,7.116666666666667
2000064,8.2,7.5,8.6,8.1,8.1
2000065,7.2,6.5,8.6,7.433333333333333,7.433333333333333
2000066,7.2,7.25,8.6,7.683333333333333,7.683333333333333
2000067,7.4,6.5,6.6,6.833333333333333,6.833333333333333
2000070,7.4,6.75,8.2,7.45,7.45
2000071,7.6,8.25,9.6,8.483333333333333,8.483333333333333
2000072,7.4,7.25,8.4,7.683333333333334,7.683333333333334
2000073,7.8,7.5,8.6,7.966666666666666,7.966666666666666
2000074,7.6,7.75,8.6,7.983333333333333,7.983333333333333
2000075,8.0,7.0,7.6,7.533333333333334,7.533333333333334
2000077,8.2,7.75,8.6,8.183333333333332,8.183333333333332
