SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
54000001,7.4,8.5,6.0,7.3,7.3
54000002,4.6,7.0,2.2,4.6000000000000005,4.6000000000000005
54000003,6.4,7.0,6.2,6.533333333333334,6.533333333333334
54000004,5.6,5.5,2.4,4.5,4.5
54000005,7.4,7.0,3.8,6.066666666666666,6.066666666666666
54000006,6.0,7.0,4.0,5.666666666666667,5.666666666666667
54000007,5.4,8.25,4.6,6.083333333333333,6.083333333333333
54000008,7.4,8.25,4.2,6.616666666666667,6.616666666666667
54000009,8.6,6.25,3.4,6.083333333333333,6.083333333333333
54000010,5.0,5.75,2.8,4.516666666666667,4.516666666666667
54000011,6.0,6.5,4.2,5.566666666666666,5.566666666666666
54000012,7.8,6.5,8.8,7.7,7.7
54000013,7.4,6.75,4.4,6.183333333333334,6.183333333333334
54000014,5.8,6.75,2.8,5.116666666666667,5.116666666666667
54000015,7.6,6.25,6.8,6.883333333333333,6.883333333333333
54000016,7.0,8.5,6.4,7.3,7.3
54000017,6.6,6.75,6.6,6.65,6.6499999999999995
54000018,4.4,6.75,3.4,4.8500000000000005,4.8500000000000005
54000019,4.6,6.25,4.0,4.95,4.95
54000020,7.0,7.0,4.4,6.133333333333333,6.133333333333333
54000021,7.0,7.0,4.0,6.0,6.0
54000022,2.6,5.5,3.4,3.8333333333333335,3.8333333333333335
54000023,7.6,6.5,5.4,6.5,6.5
54000024,4.6,7.0,3.0,4.866666666666666,4.866666666666666
54000025,6.4,6.25,4.0,5.55,5.55
54000026,4.0,6.25,2.0,4.083333333333333,4.083333333333333
54000027,4.8,5.0,2.6,4.133333333333334,4.133333333333334
54000028,7.2,5.75,4.6,5.849999999999999,5.849999999999999
54000029,5.2,4.0,3.8,4.333333333333333,4.333333333333333
54000030,6.8,5.75,2.2,4.916666666666667,4.916666666666667
54000031,5.6,7.0,4.0,5.533333333333334,5.533333333333334
54000032,7.4,8.25,7.4,7.683333333333334,7.683333333333334
54000033,6.8,6.25,3.4,5.483333333333333,5.483333333333333
54000034,5.6,6.5,3.4,5.166666666666667,5.166666666666667
54000035,7.2,7.25,4.6,6.349999999999999,6.349999999999999
54000036,7.0,7.25,3.4,5.883333333333333,5.883333333333333
54000037,5.6,8.0,4.4,6.0,6.0
54000038,7.0,7.75,4.8,6.516666666666667,6.516666666666667
54000039,7.4,5.0,2.6,5.0,5.0
54000040,6.6,7.25,4.2,6.016666666666667,6.016666666666667
54000041,5.6,8.5,4.8,6.3,6.3
54000042,7.0,5.0,4.0,5.333333333333333,5.333333333333333
54000043,5.8,8.0,4.8,6.2,6.2
54000044,5.4,7.0,3.4,5.266666666666667,5.266666666666667
54000045,7.8,3.75,4.8,5.45,5.45
54000046,7.8,7.0,6.2,7.0,7.0
54000047,7.0,8.25,6.6,7.283333333333334,7.283333333333334
54000048,7.6,8.0,8.4,8.0,8.0
54000049,3.6,7.0,2.4,4.333333333333333,4.333333333333333
54000050,7.2,6.5,5.2,6.3,6.3
54000051,4.4,7.0,3.8,5.066666666666666,5.066666666666666
54000052,6.0,6.25,4.0,5.416666666666667,5.416666666666667
54000053,2.4,5.25,2.8,3.483333333333333,3.483333333333333
54000054,6.8,6.5,4.4,5.900000000000001,5.900000000000001
54000055,4.6,5.5,3.6,4.566666666666666,4.566666666666666
54000056,7.0,8.0,5.2,6.733333333333333,6.733333333333333
54000057,6.0,5.0,3.8,4.933333333333334,4.933333333333334
54000058,3.2,6.75,3.4,4.45,4.45
54000059,3.8,8.0,3.0,4.933333333333334,4.933333333333334
54000060,8.0,6.5,5.0,6.5,6.5
54000061,8.2,7.25,6.6,7.349999999999999,7.349999999999999
54000062,5.0,6.25,4.6,5.283333333333333,5.283333333333333
54000063,6.8,6.25,3.0,5.3500000000000005,5.3500000000000005
54000064,5.8,6.75,4.2,5.583333333333333,5.583333333333333
54000065,6.2,6.75,3.8,5.583333333333333,5.583333333333333
54000066,5.8,7.0,4.2,5.666666666666667,5.666666666666667
54000067,5.2,5.83,4.0,5.010000000000001,5.010000000000001
54000068,7.0,6.5,2.6,5.366666666666667,5.366666666666667
54000069,6.0,6.75,4.0,5.583333333333333,5.583333333333333
54000070,5.4,6.5,4.4,5.433333333333334,5.433333333333334
54000071,5.4,6.5,2.2,4.7,4.7
54000072,6.4,5.5,3.2,5.033333333333334,5.033333333333334
54000073,5.6,5.25,3.4,4.75,4.75
54000074,4.8,6.25,4.0,5.016666666666667,5.016666666666667
54000075,4.4,7.0,3.8,5.066666666666666,5.066666666666666
54000076,8.0,7.75,3.4,6.383333333333333,6.383333333333333
54000077,6.4,6.5,4.0,5.633333333333333,5.633333333333333
