SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
17000001,3.2,5.0,2.0,3.4,3.4
17000002,3.6,4.5,4.2,4.1000000000000005,4.1000000000000005
17000003,4.6,3.25,4.8,4.216666666666666,4.216666666666666
17000004,7.0,5.0,6.2,6.066666666666666,6.066666666666666
17000005,5.2,5.25,4.4,4.95,4.95
17000007,4.6,6.75,5.0,5.45,5.45
17000008,4.4,5.75,5.2,5.116666666666667,5.116666666666667
17000009,3.0,4.0,3.2,3.4,3.4
17000010,4.8,6.0,3.8,4.866666666666667,4.866666666666667
17000011,6.0,8.25,5.2,6.483333333333333,6.483333333333333
17000012,6.2,8.5,5.6,6.766666666666666,6.766666666666666
17000013,4.2,5.5,6.0,5.233333333333333,5.233333333333333
17000014,2.2,3.0,4.0,3.0666666666666664,3.0666666666666664
17000015,4.6,5.25,4.0,4.616666666666666,4.616666666666666
17000016,3.8,5.25,6.0,5.016666666666667,5.016666666666667
17000017,3.0,5.5,4.0,4.166666666666667,4.166666666666667
17000018,2.4,6.0,4.0,4.133333333333334,4.133333333333334
17000019,4.8,5.25,3.6,4.55,4.55
17000020,4.4,5.75,4.4,4.8500000000000005,4.8500000000000005
17000021,4.6,5.5,4.0,4.7,4.7
17000022,1.8,6.75,3.8,4.116666666666667,4.116666666666667
17000023,3.6,8.25,6.4,6.083333333333333,6.083333333333333
17000024,5.4,6.25,5.0,5.55,5.55
17000025,2.8,1.25,2.2,2.083333333333333,2.0833333333333335
17000026,3.8,6.5,4.2,4.833333333333333,4.833333333333333
17000027,5.4,5.5,6.0,5.633333333333333,5.633333333333333
17000028,4.0,6.41,5.8,5.403333333333333,5.403333333333333
17000030,6.2,8.0,8.6,7.599999999999999,7.599999999999999
17000031,2.8,3.0,3.2,3.0,3.0
17000032,6.4,7.5,3.4,5.766666666666667,5.766666666666667
17000033,2.6,6.25,4.4,4.416666666666667,4.416666666666667
17000034,3.0,5.25,4.4,4.216666666666667,4.216666666666667
17000035,6.0,8.0,2.8,5.6000000000000005,5.6000000000000005
17000036,2.4,5.75,2.6,3.583333333333333,3.5833333333333335
17000037,3.6,3.5,4.2,3.766666666666667,3.766666666666667
17000038,3.4,4.5,4.8,4.233333333333333,4.233333333333333
17000039,3.0,5.0,4.8,4.266666666666667,4.266666666666667
17000040,2.8,4.25,2.4,3.15,3.15
17000041,2.4,4.25,2.8,3.15,3.15
17000042,4.6,6.75,3.8,5.05,5.05
17000043,4.8,6.75,5.0,5.516666666666667,5.516666666666667
17000044,4.8,8.75,3.6,5.716666666666668,5.716666666666668
17000045,5.0,5.75,5.6,5.45,5.45
17000047,6.2,3.5,4.6,4.766666666666667,4.766666666666667
17000048,7.0,9.0,7.0,7.666666666666667,7.666666666666667
17000049,5.0,6.0,3.4,4.8,4.8
17000050,4.0,4.75,4.2,4.316666666666666,4.316666666666666
17000051,6.2,5.25,5.8,5.75,5.75
17000052,6.2,4.75,6.0,5.65,5.6499999999999995
