SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
57000001,7.4,6.75,6.2,6.783333333333334,6.783333333333334
57000002,7.4,7.25,8.4,7.683333333333334,7.683333333333334
57000003,6.4,6.5,7.6,6.833333333333333,6.833333333333333
57000004,8.2,6.75,8.2,7.716666666666666,7.716666666666666
57000005,6.8,6.5,7.8,7.033333333333334,7.033333333333334
57000007,8.6,6.75,8.8,8.049999999999999,8.049999999999999
57000011,8.2,7.5,7.8,7.833333333333333,7.833333333333333
57000012,8.0,6.0,8.6,7.533333333333334,7.533333333333334
57000013,5.6,6.75,4.8,5.716666666666666,5.716666666666666
57000014,7.2,6.5,9.4,7.7,7.7
57000017,7.2,6.25,4.2,5.883333333333333,5.883333333333333
57000018,7.0,5.75,5.2,5.983333333333333,5.983333333333333
57000019,6.8,5.0,6.0,5.933333333333334,5.933333333333334
57000021,8.0,7.25,5.8,7.016666666666667,7.016666666666667
57000022,6.4,7.0,7.8,7.066666666666666,7.066666666666666
57000023,7.6,5.25,4.0,5.616666666666667,5.616666666666667
57000024,7.4,6.25,5.8,6.483333333333333,6.483333333333333
57000025,6.4,6.0,7.4,6.6000000000000005,6.6000000000000005
57000026,7.2,5.75,4.6,5.849999999999999,5.849999999999999
57000027,7.4,5.25,9.0,7.216666666666666,7.216666666666666
57000028,7.8,8.0,8.0,7.933333333333334,7.933333333333334
57000031,5.2,5.75,7.4,6.116666666666667,6.116666666666667
57000033,6.8,5.25,7.2,6.416666666666667,6.416666666666667
57000034,7.0,6.25,6.2,6.483333333333333,6.483333333333333
57000035,5.6,6.5,4.6,5.566666666666666,5.566666666666666
57000036,7.2,6.5,6.8,6.833333333333333,6.833333333333333
57000037,5.2,5.25,6.0,5.483333333333333,5.483333333333333
57000039,7.8,6.0,4.2,6.0,6.0
57000040,4.6,6.5,6.6,5.9,5.8999999999999995
57000041,7.8,7.0,7.8,7.533333333333334,7.533333333333334
57000042,5.2,7.0,4.2,5.466666666666666,5.466666666666666
57000043,7.8,6.0,7.2,7.0,7.0
57000044,6.8,8.0,5.8,6.866666666666667,6.866666666666667
57000045,8.6,9.0,8.2,8.6,8.6
57000047,7.4,7.75,8.4,7.85,7.8500000000000005
57000050,6.8,5.5,7.8,6.7,6.7
57000052,7.4,6.0,6.8,6.733333333333333,6.733333333333333
57000055,8.6,6.75,7.8,7.716666666666666,7.716666666666666
57000056,7.8,5.25,7.6,6.883333333333333,6.883333333333333
57000057,8.0,6.25,7.8,7.35,7.3500000000000005
57000058,8.0,6.25,7.0,7.083333333333333,7.083333333333333
57000059,5.4,6.25,5.6,5.75,5.75
57000062,5.8,5.5,5.2,5.5,5.5
57000063,7.4,5.75,2.4,5.183333333333334,5.183333333333334
57000064,6.6,6.25,8.8,7.216666666666666,7.216666666666666
57000065,7.8,6.5,7.0,7.1000000000000005,7.1000000000000005
57000067,6.8,6.0,8.0,6.933333333333334,6.933333333333334
57000069,5.4,6.75,4.4,5.516666666666667,5.516666666666667
57000073,6.8,6.0,6.2,6.333333333333333,6.333333333333333
57000074,7.6,5.75,4.4,5.916666666666667,5.916666666666667
57000075,7.0,7.5,7.4,7.3,7.3
57000076,7.0,8.0,8.4,7.8,7.8
57000077,8.0,7.0,7.2,7.399999999999999,7.3999999999999995
57000078,6.8,6.75,6.6,6.716666666666666,6.716666666666666
57000080,7.2,0.0,9.2,5.466666666666666,5.466666666666666
57000081,7.4,6.5,6.8,6.9,6.8999999999999995
57000082,7.6,5.25,8.6,7.15,7.1499999999999995
57000084,7.4,6.25,6.6,6.75,6.75
57000085,7.8,6.25,7.8,7.283333333333334,7.283333333333334
57000087,8.2,6.0,7.2,7.133333333333333,7.133333333333333
57000088,8.4,6.5,7.8,7.566666666666666,7.566666666666666
57000089,5.0,4.5,3.4,4.3,4.3
57000092,8.2,5.25,6.8,6.75,6.75
57000093,7.6,5.75,5.4,6.25,6.25
57000094,6.0,5.75,7.2,6.316666666666666,6.316666666666666
57000099,8.8,0.0,6.6,5.133333333333334,5.133333333333334
57000101,7.4,6.25,7.8,7.15,7.1499999999999995
57000105,8.2,8.0,6.8,7.666666666666667,7.666666666666667
57000106,7.6,8.25,7.8,7.883333333333333,7.883333333333333
57000108,7.8,8.25,7.8,7.95,7.95
57000110,7.4,7.0,5.4,6.6000000000000005,6.6000000000000005
57000111,9.0,7.25,6.0,7.416666666666667,7.416666666666667
57000112,7.0,7.0,6.2,6.733333333333333,6.733333333333333
57000113,7.8,7.75,6.4,7.316666666666667,7.316666666666667
57000114,7.2,8.25,8.2,7.883333333333333,7.883333333333333
57000118,7.4,5.5,6.8,6.566666666666666,6.566666666666666
57000120,7.4,6.25,6.8,6.816666666666666,6.816666666666666
57000122,7.0,6.25,7.6,6.95,6.95
57000124,8.4,7.25,8.2,7.95,7.95
57000126,8.0,7.25,8.4,7.883333333333333,7.883333333333333
57000127,7.0,7.5,7.2,7.233333333333333,7.233333333333333
57000129,8.2,5.75,6.6,6.849999999999999,6.849999999999999
57000131,7.2,5.75,7.8,6.916666666666667,6.916666666666667
57000132,8.6,6.25,7.2,7.35,7.3500000000000005
57000133,6.6,5.75,3.6,5.316666666666666,5.316666666666666
57000134,7.8,5.5,8.4,7.233333333333334,7.233333333333334
57000137,7.6,0.0,8.2,5.266666666666667,5.266666666666667
57000138,8.2,6.0,6.0,6.733333333333333,6.733333333333333
57000139,6.2,6.5,8.4,7.033333333333334,7.033333333333334
57000142,8.0,7.0,7.6,7.533333333333334,7.533333333333334
57000145,7.6,5.75,6.2,6.516666666666667,6.516666666666667
57000146,8.6,6.25,6.4,7.083333333333333,7.083333333333333
57000148,7.0,7.25,7.4,7.216666666666666,7.216666666666666
57000149,4.6,5.5,3.8,4.633333333333333,4.633333333333333
57000151,7.2,6.0,6.4,6.533333333333334,6.533333333333334
57000152,7.6,8.25,6.2,7.35,7.3500000000000005
57000153,7.0,6.5,6.6,6.7,6.7
57000154,7.6,5.0,5.6,6.066666666666666,6.066666666666666
57000155,6.6,8.0,9.2,7.933333333333333,7.933333333333333
57000156,5.2,7.5,6.0,6.233333333333333,6.233333333333333
57000157,5.8,6.25,4.4,5.483333333333334,5.483333333333334
57000158,7.0,5.0,4.6,5.533333333333334,5.533333333333334
57000159,7.8,7.0,8.6,7.8,7.8
57000160,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
57000161,7.8,7.0,6.2,7.0,7.0
57000162,5.4,5.75,3.0,4.716666666666667,4.716666666666667
57000163,5.8,6.0,6.0,5.933333333333334,5.933333333333334
57000164,6.6,7.5,7.8,7.3,7.3
57000166,5.6,7.5,7.6,6.9,6.8999999999999995
57000167,7.8,7.25,7.4,7.483333333333334,7.483333333333334
57000169,6.4,8.0,4.2,6.2,6.2
57000170,7.4,7.25,5.4,6.683333333333334,6.683333333333334
57000171,8.0,6.75,8.8,7.85,7.8500000000000005
57000173,8.2,7.75,7.0,7.649999999999999,7.6499999999999995
57000175,6.8,6.5,5.4,6.233333333333334,6.233333333333334
57000176,7.8,7.5,9.0,8.1,8.1
57000181,7.0,7.0,8.8,7.6,7.6000000000000005
57000183,6.2,7.0,6.8,6.666666666666667,6.666666666666667
57000184,7.6,0.0,5.0,4.2,4.2
57000186,8.2,6.75,6.6,7.183333333333333,7.183333333333333
57000187,7.8,5.5,4.2,5.833333333333333,5.833333333333333
57000188,7.6,5.75,7.4,6.916666666666667,6.916666666666667
57000191,6.2,5.5,6.0,5.9,5.8999999999999995
57000193,7.6,6.0,6.2,6.6000000000000005,6.6000000000000005
57000195,5.8,5.0,5.0,5.266666666666667,5.266666666666667
57000200,8.0,6.0,3.8,5.933333333333334,5.933333333333334
57000202,6.6,7.0,7.8,7.133333333333333,7.133333333333333
57000204,7.8,6.25,7.6,7.216666666666666,7.216666666666666
57000205,8.2,8.0,9.0,8.4,8.4
57000206,5.6,0.0,7.6,4.4,4.3999999999999995
57000207,6.4,6.0,7.8,6.733333333333333,6.733333333333333
57000209,5.6,5.75,5.4,5.583333333333333,5.583333333333333
57000210,8.2,6.0,9.8,8.0,8.0
57000211,7.6,7.0,4.0,6.2,6.2
57000212,6.0,5.5,8.2,6.566666666666666,6.566666666666666
57000214,7.6,8.0,6.2,7.266666666666667,7.266666666666667
57000215,6.4,7.0,6.6,6.666666666666667,6.666666666666667
57000216,6.2,6.75,6.0,6.316666666666666,6.316666666666666
57000217,7.6,7.75,4.0,6.45,6.45
57000218,7.6,8.0,8.0,7.866666666666667,7.866666666666667
57000220,6.4,6.5,3.8,5.566666666666666,5.566666666666666
57000221,7.4,7.5,5.2,6.7,6.7
57000223,6.0,6.0,5.6,5.866666666666667,5.866666666666667
57000224,5.0,6.0,2.6,4.533333333333333,4.533333333333333
57000226,8.2,6.5,8.6,7.766666666666666,7.766666666666666
57000228,5.6,6.83,5.0,5.81,5.81
57000230,7.6,5.75,7.4,6.916666666666667,6.916666666666667
57000231,7.4,5.25,9.6,7.416666666666667,7.416666666666667
57000232,7.0,6.25,3.4,5.55,5.55
57000233,8.0,5.75,6.6,6.783333333333334,6.783333333333334
57000234,7.8,6.5,7.8,7.366666666666667,7.366666666666667
57000235,7.8,4.5,8.6,6.966666666666666,6.966666666666666
57000237,6.8,5.75,5.8,6.116666666666667,6.116666666666667
57000238,7.4,6.75,7.8,7.316666666666666,7.316666666666666
57000239,5.8,6.0,2.6,4.8,4.8
57000240,6.6,6.25,6.2,6.3500000000000005,6.3500000000000005
57000241,7.4,6.25,8.8,7.483333333333334,7.483333333333334
57000242,7.8,5.25,5.2,6.083333333333333,6.083333333333333
57000243,6.8,6.25,9.4,7.483333333333334,7.483333333333334
57000244,5.0,5.0,3.6,4.533333333333333,4.533333333333333
57000245,7.6,5.0,3.8,5.466666666666666,5.466666666666666
57000246,8.0,6.5,7.8,7.433333333333334,7.433333333333334
57000247,7.2,5.5,5.2,5.966666666666666,5.966666666666666
57000249,8.6,7.5,9.0,8.366666666666667,8.366666666666667
57000250,6.0,6.75,5.8,6.183333333333334,6.183333333333334
57000252,7.8,6.75,7.2,7.25,7.25
57000253,7.6,5.75,8.2,7.183333333333333,7.183333333333333
57000256,7.6,5.25,5.6,6.15,6.1499999999999995
57000257,5.8,6.5,6.2,6.166666666666667,6.166666666666667
57000258,7.8,5.75,7.2,6.916666666666667,6.916666666666667
57000261,5.2,4.25,7.6,5.683333333333333,5.683333333333333
57000264,7.4,7.25,6.2,6.95,6.95
57000266,6.2,5.25,7.0,6.15,6.1499999999999995
57000267,7.2,6.0,5.6,6.266666666666666,6.266666666666666
57000268,5.6,5.75,4.4,5.25,5.25
57000269,7.8,7.5,7.2,7.5,7.5
57000271,8.0,7.75,8.8,8.183333333333334,8.183333333333334
57000272,6.0,6.75,8.0,6.916666666666667,6.916666666666667
57000273,7.8,9.5,6.8,8.033333333333333,8.033333333333333
57000275,6.8,6.75,6.4,6.650000000000001,6.650000000000001
57000282,6.2,6.5,6.6,6.433333333333333,6.433333333333333
57000283,8.0,6.0,7.4,7.133333333333333,7.133333333333333
57000285,8.4,6.5,9.6,8.166666666666666,8.166666666666666
57000286,7.8,6.25,9.0,7.683333333333334,7.683333333333334
57000288,9.0,7.0,7.4,7.8,7.8
57000289,7.2,8.0,8.6,7.933333333333333,7.933333333333333
57000290,6.0,7.25,8.4,7.216666666666666,7.216666666666666
57000291,7.8,5.5,8.2,7.166666666666667,7.166666666666667
57000292,7.8,6.75,3.6,6.050000000000001,6.050000000000001
57000293,8.6,5.75,6.4,6.916666666666667,6.916666666666667
57000294,6.2,7.25,5.2,6.216666666666666,6.216666666666666
57000295,7.6,6.5,7.2,7.1000000000000005,7.1000000000000005
57000296,7.6,5.75,6.4,6.583333333333333,6.583333333333333
57000299,7.6,6.75,6.8,7.05,7.05
57000300,8.0,6.5,6.8,7.1000000000000005,7.1000000000000005
57000301,8.0,6.25,3.8,6.016666666666667,6.016666666666667
57000304,8.0,7.08,6.4,7.16,7.16
57000306,6.0,6.25,5.2,5.816666666666666,5.816666666666666
