SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
63000003,9.0,6.5,4.6,6.7,6.7
63000004,7.8,8.0,4.8,6.866666666666667,6.866666666666667
63000005,7.4,4.5,4.8,5.566666666666666,5.566666666666666
63000006,5.8,0.0,4.2,3.333333333333333,3.3333333333333335
63000007,5.8,5.75,3.2,4.916666666666667,4.916666666666667
63000008,7.8,4.5,6.0,6.1000000000000005,6.1000000000000005
63000009,7.8,5.5,9.2,7.5,7.5
63000011,4.4,4.5,4.4,4.433333333333334,4.433333333333334
63000012,4.4,4.0,3.4,3.9333333333333336,3.9333333333333336
63000014,3.0,6.5,2.8,4.1000000000000005,4.1000000000000005
63000015,6.6,5.75,5.6,5.983333333333333,5.983333333333333
63000016,6.8,5.0,4.4,5.400000000000001,5.400000000000001
63000017,5.2,6.25,3.6,5.016666666666667,5.016666666666667
63000019,5.0,6.5,8.0,6.5,6.5
63000020,4.2,6.25,2.2,4.216666666666666,4.216666666666666
63000021,3.6,3.75,4.2,3.85,3.85
63000022,6.6,7.0,3.0,5.533333333333334,5.533333333333334
63000024,7.8,6.25,8.4,7.483333333333334,7.483333333333334
63000025,7.2,6.75,6.0,6.65,6.6499999999999995
63000026,7.4,8.75,8.6,8.25,8.25
63000027,8.0,4.5,8.6,7.033333333333334,7.033333333333334
63000028,6.8,5.25,3.2,5.083333333333333,5.083333333333333
63000029,6.6,7.25,5.6,6.483333333333333,6.483333333333333
63000030,7.4,7.75,9.0,8.049999999999999,8.049999999999999
63000032,7.2,6.0,5.8,6.333333333333333,6.333333333333333
63000033,7.6,8.0,6.0,7.2,7.2
63000034,4.2,6.0,3.6,4.6,4.6
63000035,4.8,4.5,4.0,4.433333333333334,4.433333333333334
63000036,7.2,8.0,9.4,8.200000000000001,8.200000000000001
63000037,6.8,6.4,4.2,5.8,5.8
63000038,7.6,7.25,5.6,6.816666666666666,6.816666666666666
63000039,7.6,7.5,4.2,6.433333333333334,6.433333333333334
63000040,8.4,7.0,8.2,7.866666666666667,7.866666666666667
63000041,6.8,7.0,4.4,6.066666666666667,6.066666666666667
63000042,7.4,5.25,5.0,5.883333333333333,5.883333333333333
63000043,5.6,4.75,4.2,4.8500000000000005,4.8500000000000005
63000044,4.8,6.0,3.2,4.666666666666667,4.666666666666667
63000045,4.8,6.5,3.6,4.966666666666667,4.966666666666667
63000046,6.6,6.0,5.2,5.933333333333334,5.933333333333334
63000047,7.2,6.0,4.4,5.866666666666667,5.866666666666667
63000048,5.6,4.75,4.0,4.783333333333333,4.783333333333333
63000049,7.4,5.5,4.2,5.7,5.7
63000050,3.4,6.25,3.8,4.483333333333333,4.483333333333333
63000051,6.4,6.75,3.6,5.583333333333333,5.583333333333333
63000052,6.4,8.0,3.0,5.8,5.8
63000053,8.4,9.0,7.6,8.333333333333334,8.333333333333334
63000055,3.2,5.5,3.6,4.1,4.1
63000056,8.4,7.0,7.0,7.466666666666666,7.466666666666666
63000057,5.2,4.75,3.0,4.316666666666666,4.316666666666666
63000058,3.6,4.25,2.2,3.35,3.35
63000059,7.4,7.0,5.2,6.533333333333334,6.533333333333334
63000060,4.0,8.5,6.8,6.433333333333334,6.433333333333334
63000061,7.2,8.0,4.6,6.599999999999999,6.599999999999999
63000062,6.4,6.75,5.6,6.25,6.25
63000063,7.2,8.5,7.4,7.7,7.7
63000065,6.0,6.5,6.2,6.233333333333333,6.233333333333333
63000066,5.0,6.25,4.2,5.15,5.1499999999999995
63000067,7.4,0.0,7.8,5.066666666666666,5.066666666666666
63000068,6.4,6.25,6.0,6.216666666666666,6.216666666666666
63000069,6.0,4.75,8.6,6.45,6.45
63000070,5.8,4.5,4.0,4.766666666666667,4.766666666666667
63000071,7.6,5.25,5.4,6.083333333333333,6.083333333333333
