Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Hà Giang,2018,Vùng trung du và miền núi phía Bắc,0.434603,846.5,106.75,"0,462","0,565","0,734","0,532",4.382693798449612
Hà Giang,2019,Vùng trung du và miền núi phía Bắc,0.485911,858.1,108.0,"0,482","0,579","0,737","0,545",4.215383204987165
Hà Giang,2020,Vùng trung du và miền núi phía Bắc,0.422106,870.24,110.0,"0,5","0,591","0,745","0,555",5.221484071484071
Hà Giang,2021,Vùng trung du và miền núi phía Bắc,0.474379,887.09,112.0,nan,nan,nan,nan,5.680538429921906
Hà Giang,2022,Vùng trung du và miền núi phía Bắc,0.554896,892.72,113.0,nan,nan,nan,nan,5.299501342539317
Hà Giang,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,5.499655172413793
Cao Bằng,2018,Vùng trung du và miền núi phía Bắc,0.750797,528.7,78.91,"0,558","0,624","0,777","0,56",4.48804143126177
Cao Bằng,2019,Vùng trung du và miền núi phía Bắc,0.704093,530.9,79.0,"0,571","0,633","0,778","0,57",4.5758983050847455
Cao Bằng,2020,Vùng trung du và miền núi phía Bắc,0.78531,533.09,80.0,"0,581","0,641","0,778","0,584",5.24631006006006
Cao Bằng,2021,Vùng trung du và miền núi phía Bắc,0.646162,542.22,81.0,nan,nan,nan,nan,5.801083238312429
Cao Bằng,2022,Vùng trung du và miền núi phía Bắc,0.80412,543.05,81.0,nan,nan,nan,nan,5.306257110352673
Cao Bằng,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,4.4441677762982685
Lạng Sơn,2018,Vùng trung du và miền núi phía Bắc,0.092488,775.9,93.37,"0,626","0,667","0,803","0,59",5.488299418604651
Lạng Sơn,2019,Vùng trung du và miền núi phía Bắc,0.209428,782.8,94.0,"0,614","0,668","0,805","0,605",5.642574525745258
Lạng Sơn,2020,Vùng trung du và miền núi phía Bắc,1e-06,788.71,95.0,"0,616","0,674","0,807","0,616",6.424081541218638
