Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Hà Giang,2018,Vùng trung du và miền núi phía Bắc,0.434603,846.5,106.75,0.462,0.565,0.734,0.532,4.382693798449612
Hà Giang,2019,Vùng trung du và miền núi phía Bắc,0.485911,858.1,108.0,0.482,0.579,0.737,0.545,4.215383204987165
Hà Giang,2020,Vùng trung du và miền núi phía Bắc,0.422106,870.24,110.0,0.5,0.591,0.745,0.555,5.221484071484071
Cao Bằng,2018,Vùng trung du và miền núi phía Bắc,0.750797,528.7,78.91,0.558,0.624,0.777,0.56,4.48804143126177
Cao Bằng,2019,Vùng trung du và miền núi phía Bắc,0.704093,530.9,79.0,0.571,0.633,0.778,0.57,4.5758983050847455
Cao Bằng,2020,Vùng trung du và miền núi phía Bắc,0.78531,533.09,80.0,0.581,0.641,0.778,0.584,5.24631006006006
Lạng Sơn,2018,Vùng trung du và miền núi phía Bắc,0.092488,775.9,93.37,0.626,0.667,0.803,0.59,5.488299418604651
Lạng Sơn,2019,Vùng trung du và miền núi phía Bắc,0.209428,782.8,94.0,0.614,0.668,0.805,0.605,5.642574525745258
Lạng Sơn,2020,Vùng trung du và miền núi phía Bắc,1e-06,788.71,95.0,0.616,0.674,0.807,0.616,6.424081541218638
Bắc Giang,2018,Vùng trung du và miền núi phía Bắc,0.880775,1777.5,456.28,0.629,0.691,0.82,0.64,4.629478327579593
Bắc Giang,2019,Vùng trung du và miền núi phía Bắc,0.777001,1810.4,465.0,0.641,0.702,0.822,0.657,4.750193470374849
Bắc Giang,2020,Vùng trung du và miền núi phía Bắc,0.893298,1841.62,473.0,0.65,0.714,0.822,0.681,5.311924939467312
Thái Nguyên,2018,Vùng trung du và miền núi phía Bắc,0.85995525,1273.6,361.14,0.703,0.745,0.823,0.715,4.8841178721775735
Thái Nguyên,2019,Vùng trung du và miền núi phía Bắc,1.011344,1290.9,366.0,0.701,0.748,0.825,0.723,5.112526766595289
Thái Nguyên,2020,Vùng trung du và miền núi phía Bắc,0.94668,1307.87,371.0,0.677,0.743,0.826,0.735,6.632017543859649
