iter	RMSE
0	0.9552656416
1	0.9396412674
2	0.9253144748
3	0.9120250386
4	0.8987784625
5	0.8857972745
6	0.873029727
7	0.8610076694
8	0.8496666042
9	0.8405725784
10	0.8309494278
11	0.8207481736
12	0.8117574366
13	0.801257759
14	0.7920288975
15	0.7831095753
16	0.7739562506
17	0.7641450504
18	0.7566411587
19	0.748083033
20	0.7421073907
21	0.7357292812
22	0.7258645678
23	0.7184870548
24	0.7107352197
25	0.7026555031
26	0.6972080131
27	0.6896360875
28	0.6833914945
29	0.6776952986
30	0.6715246636
31	0.6636969898
32	0.6574941336
33	0.652437523
34	0.6469119921
35	0.6413733126
36	0.6369496392
37	0.6314900037
38	0.6269622498
39	0.622721367
40	0.6186103001
41	0.6145280645
42	0.6094710038
43	0.6057931055
44	0.6018669766
45	0.5981746295
46	0.5944852001
47	0.5894961901
48	0.5858597077
49	0.5821127929
50	0.5795290671
51	0.5745788413
52	0.570879815
53	0.56904027
54	0.5657684044
55	0.5623329039
56	0.5586179588
57	0.5559670513
58	0.5527171842
59	0.5482960937
60	0.5454136694
61	0.5415681802
62	0.5391827016
63	0.536648179
64	0.5342146578
65	0.5320855833
66	0.5261443466
67	0.5217463992
68	0.5189364305
69	0.5160432755
70	0.5142249005
71	0.5118243502
72	0.5084676094
73	0.5066055392
74	0.5049633166
75	0.5025452467
76	0.4992123507
77	0.4971669151
78	0.4948773029
79	0.4923262764
80	0.4891897457
81	0.4861031031
82	0.4825494351
83	0.480930198
84	0.4790672659
85	0.4752577829
86	0.4725654049
87	0.4694639776
88	0.467140548
89	0.4650774914
90	0.4620237108
91	0.4590253688
92	0.4569173396
93	0.4548652915
94	0.4533115779
95	0.4523931003
96	0.4501125998
97	0.4473221773
98	0.4450965106
99	0.4429458277
100	0.440545938
101	0.4387789818
102	0.4377727372
103	0.4360936138
104	0.4335159627
105	0.4316137255
106	0.4298203928
107	0.4278840605
108	0.4255080037
109	0.4236888815
110	0.4201144488
111	0.4193671644
112	0.4171733237
113	0.414996005
114	0.4137317434
115	0.4124511953
116	0.4111035673
117	0.4092204224
118	0.4078171731
119	0.4058174347
120	0.4049712618
121	0.4047144558
122	0.4022487567
123	0.400684892
124	0.3995041231
125	0.3979728191
126	0.3961449284
127	0.3929147038
128	0.3902944978
129	0.3889235044
130	0.3882913774
131	0.3869581821
132	0.3851128631
133	0.3840166158
134	0.3818382647
135	0.3805197994
136	0.3797792966
137	0.3786307472
138	0.3772998306
139	0.3758460827
140	0.3738613486
141	0.3718711763
142	0.3698273652
143	0.3688079567
144	0.367497449
145	0.3661491837
146	0.3650375319
147	0.3634426371
148	0.3623140129
149	0.3601395319
150	0.35864597
151	0.3573141289
152	0.3563443916
153	0.3541128149
154	0.3530504427
155	0.3510227722
156	0.3490478406
157	0.3478754885
158	0.3466911636
159	0.3451331466
160	0.3440452771
161	0.3422445189
162	0.3409244616
163	0.3400912231
164	0.3388044956
165	0.3376006437
166	0.3358505865
167	0.334161331
168	0.33230254
169	0.3317533974
170	0.3309483737
171	0.329448168
172	0.328350795
173	0.3271809151
174	0.325377513
175	0.3241919189
176	0.3218515403
177	0.321013836
178	0.3200676307
179	0.3184573275
180	0.3173515224
181	0.3165075396
182	0.3156398893
183	0.3146482319
184	0.3134409202
185	0.3124270549
186	0.3116431831
187	0.310536197
188	0.3093238247
189	0.3085023543
190	0.3071117957
191	0.306369397
192	0.3052571443
193	0.3042062385
194	0.302969135
195	0.301687657
196	0.3009081888
197	0.2996096829
198	0.2987920273
199	0.2975570685
200	0.2962222259
201	0.2951878374
202	0.2941495488
203	0.2928441397
204	0.2923545221
205	0.29126324
206	0.2902025627
207	0.2883279283
208	0.2875633278
209	0.2869172413
210	0.285961297
211	0.2851905635
212	0.2844039727
213	0.2835319617
214	0.2830995095
215	0.2819926427
216	0.2806303962
217	0.2794818635
218	0.2784907544
219	0.2777140803
220	0.2765040773
221	0.2758135928
222	0.2745541487
223	0.2737636651
224	0.2726272921
225	0.272109131
226	0.2713415532
227	0.2701572741
228	0.2692999663
229	0.2689282786
230	0.2677952759
231	0.2673885971
232	0.2659888402
233	0.2656027673
234	0.2643197032
235	0.2634417363
236	0.2624428475
237	0.2614201476
238	0.2605094022
239	0.2597435072
240	0.2587781485
241	0.2581330338
242	0.2571937174
243	0.2563281755
244	0.2559551911
245	0.2553279126
246	0.2549451107
247	0.2542479404
248	0.2535547253
249	0.2525312409
250	0.2520324383
251	0.2508214196
252	0.2503837497
253	0.2492433873
254	0.2483931513
255	0.2478047198
256	0.2470882512
257	0.2460504862
258	0.2453991988
259	0.244739018
260	0.2438808311
261	0.2432319151
262	0.2428644316
263	0.2424359229
264	0.2420115538
265	0.2411664829
266	0.2407929653
267	0.2402943963
268	0.2396331385
269	0.2392923414
270	0.2387660019
271	0.2381842462
272	0.2372530756
273	0.2368684847
274	0.235947845
275	0.2356941137
276	0.2353873279
277	0.2346665436
278	0.2340471228
279	0.233425776
280	0.2330946823
281	0.2325346569
282	0.2316775363
283	0.2310719398
284	0.230505951
285	0.2297474255
286	0.2288297992
287	0.2282217497
288	0.2272703191
289	0.2270485748
290	0.2266951765
291	0.2259384655
292	0.2254288474
293	0.2251011477
294	0.2244535696
295	0.2241188118
296	0.2234381288
297	0.2228113887
298	0.2221880484
299	0.221755824
300	0.2215664463
301	0.2209189469
302	0.220372164
303	0.2196783859
304	0.2190019925
305	0.2183734433
306	0.2177159874
307	0.2174157455
308	0.2168399342
309	0.2160475749
310	0.2155254461
311	0.2151492048
312	0.2145220544
313	0.2137855419
314	0.213221485
315	0.2128048701
316	0.2121725433
317	0.2116126329
318	0.2111305689
319	0.2107116583
320	0.2104282956
321	0.2100977622
322	0.2092829217
323	0.2089621892
324	0.2084267323
325	0.2082022653
326	0.2077695648
327	0.2073871295
328	0.2069695459
329	0.2064138291
330	0.2060096478
331	0.2056892465
332	0.2050441328
333	0.2045754374
334	0.204283429
335	0.2036200357
336	0.2033024529
337	0.2028463267
338	0.2024412003
339	0.2020135566
340	0.2014453127
341	0.2007571655
342	0.2003206448
343	0.2000450134
344	0.1994041747
345	0.1991528561
346	0.1989324224
347	0.198374631
348	0.1980069273
349	0.1978164625
350	0.1975479973
351	0.1969854574
352	0.196348023
353	0.1958943756
354	0.1953823309
355	0.1952106291
356	0.1948018005
357	0.1944105218
358	0.1938175494
359	0.1933385751
360	0.1930186203
361	0.1925575425
362	0.192249628
363	0.1917495032
364	0.1912879319
365	0.1911002787
366	0.1907530557
367	0.1903281152
368	0.1897214609
369	0.1891708948
370	0.1888139157
371	0.1886060466
372	0.1882276821
373	0.1879521838
374	0.1877533881
375	0.1874675826
376	0.1870773971
377	0.1869073619
378	0.1867369228
379	0.1865554809
380	0.1861599731
381	0.1859785251
382	0.1855179234
383	0.1852554723
384	0.1849400739
385	0.184523577
386	0.1839664766
387	0.1836280717
388	0.1832441483
389	0.1831214707
390	0.1826627646
391	0.1824313276
392	0.1822915733
393	0.1820047992
394	0.181690477
395	0.1813278905
396	0.180940325
397	0.1804780939
398	0.1798055442
399	0.1793578392
400	0.1788081922
401	0.1784680217
402	0.1781667748
403	0.1778477311
404	0.177532697
405	0.1770554462
406	0.1765179181
407	0.1763084736
408	0.1757519181
409	0.1754797399
410	0.1751849353
411	0.1750690667
412	0.174375682
413	0.1740806314
414	0.1738489804
415	0.1735234792
416	0.1728877298
417	0.1726457669
418	0.1722965576
419	0.1717894426
420	0.1715014224
421	0.1713399656
422	0.1710824416
423	0.1706998908
424	0.1702348758
425	0.1701198182
426	0.1698363741
427	0.1693169379
428	0.1689970643
429	0.168836057
430	0.1683987097
431	0.1681994201
432	0.1680706944
433	0.1678059639
434	0.1675245578
435	0.1670819982
436	0.1668677367
437	0.1667645616
438	0.1665737738
439	0.1663392296
440	0.166045908
441	0.1658767096
442	0.1657765588
443	0.1654578635
444	0.1650246256
445	0.1647705052
446	0.1645882333
447	0.1642834621
448	0.1640000556
449	0.1638479926
450	0.1636160063
451	0.1635124168
452	0.1632694379
453	0.1629143731
454	0.1628147752
455	0.1627241856
456	0.1621353973
457	0.1620024459
458	0.1619051756
459	0.1617655781
460	0.1613657202
