iter	Passed	Remaining
0	2	2535
1	3	1596
2	4	1429
3	5	1329
4	6	1283
5	7	1220
6	8	1244
7	10	1255
8	11	1268
9	12	1255
10	14	1259
11	15	1264
12	16	1275
13	18	1273
14	19	1265
15	20	1232
16	21	1237
17	22	1241
18	23	1224
19	24	1222
20	26	1226
21	27	1207
22	29	1265
23	31	1272
24	32	1273
25	34	1275
26	35	1268
27	36	1262
28	37	1254
29	38	1252
30	39	1249
31	41	1250
32	42	1247
33	43	1242
34	44	1236
35	46	1235
36	47	1234
37	48	1231
38	49	1229
39	51	1225
40	52	1219
41	53	1214
42	54	1210
43	55	1205
44	56	1201
45	57	1202
46	59	1202
47	60	1197
48	61	1196
49	63	1198
50	65	1216
51	67	1237
52	69	1237
53	69	1225
54	71	1228
55	72	1227
56	73	1222
57	74	1208
58	75	1203
59	76	1201
60	78	1204
61	79	1209
62	81	1207
63	82	1204
64	83	1201
65	84	1194
66	85	1193
67	86	1190
68	88	1189
69	89	1189
70	92	1209
71	94	1215
72	95	1211
73	96	1207
74	97	1206
75	99	1207
76	101	1214
77	102	1216
78	104	1216
79	105	1218
80	108	1232
81	110	1233
82	111	1233
83	113	1233
84	114	1233
85	116	1234
86	117	1233
87	118	1231
88	120	1231
89	121	1229
90	123	1233
91	125	1235
92	126	1232
93	127	1230
94	128	1228
95	129	1220
96	130	1218
97	132	1217
98	134	1224
99	135	1222
100	137	1223
101	139	1227
102	140	1226
103	142	1226
104	143	1224
105	144	1222
106	146	1221
107	147	1220
108	149	1219
109	150	1219
110	152	1220
111	154	1222
112	155	1220
113	156	1218
114	158	1216
115	159	1215
116	160	1212
117	162	1212
118	163	1210
119	164	1207
120	165	1205
121	166	1198
122	168	1202
123	171	1208
124	172	1206
125	173	1203
126	174	1202
127	176	1200
128	177	1198
129	178	1196
130	180	1195
131	181	1193
132	183	1197
133	185	1199
134	186	1197
135	188	1195
136	189	1193
137	191	1197
138	192	1194
139	194	1192
140	195	1190
141	196	1189
142	198	1191
143	200	1192
144	201	1190
145	203	1188
146	204	1186
147	205	1184
148	206	1180
149	208	1180
150	209	1178
151	210	1176
152	212	1174
153	214	1178
154	216	1177
155	217	1175
156	218	1173
157	219	1170
158	220	1167
159	221	1165
160	223	1163
161	225	1165
162	227	1166
163	230	1172
164	231	1172
165	233	1172
166	234	1170
167	236	1170
168	237	1169
169	239	1168
170	240	1167
171	242	1167
172	245	1171
173	246	1170
174	248	1169
175	249	1170
176	251	1169
177	253	1168
178	254	1167
179	256	1169
180	258	1169
181	261	1176
182	263	1175
183	264	1173
184	266	1172
185	267	1170
186	269	1169
187	280	1210
188	281	1208
189	283	1207
190	284	1206
191	286	1205
192	287	1203
193	290	1206
194	293	1209
195	294	1208
196	295	1206
197	297	1204
198	298	1201
199	299	1199
200	301	1199
